DATE,DGS3MO,DGS1,DGS5,DGS10,DAAA,DBAA,DCOILWTICO
2011-10-17,0.04,0.12,1.08,2.18,4.0,5.44,86.38
2011-10-18,0.04,0.12,1.07,2.19,3.96,5.42,88.34
2011-10-19,0.03,0.11,1.05,2.18,3.97,5.39,86.11
2011-10-20,0.03,0.12,1.07,2.2,3.98,5.4,86.07
2011-10-21,0.02,0.12,1.08,2.23,3.99,5.41,87.19
2011-10-24,0.02,0.11,1.1,2.25,4.01,5.41,91.12
2011-10-25,0.01,0.11,1.01,2.14,3.87,5.28,92.98
2011-10-26,0.02,0.13,1.09,2.23,3.95,5.33,90.2
2011-10-27,0.02,0.14,1.2,2.42,4.07,5.46,93.96
2011-10-28,0.01,0.13,1.13,2.34,3.97,5.33,93.32
2011-10-31,0.01,0.12,0.99,2.17,3.88,5.19,93.19
2011-11-01,0.01,0.13,0.9,2.01,3.73,5.04,92.19
2011-11-02,0.01,0.11,0.89,2.03,3.82,5.06,92.51
2011-11-03,0.01,0.11,0.91,2.09,3.9,5.13,94.07
2011-11-04,0.01,0.11,0.88,2.06,3.88,5.12,94.26
2011-11-07,0.01,0.09,0.88,2.04,3.82,5.06,95.52
2011-11-08,0.01,0.1,0.92,2.1,3.93,5.15,96.8
2011-11-09,0.01,0.1,0.88,2.0,3.84,5.08,95.74
2011-11-10,0.01,0.1,0.9,2.04,3.93,5.18,97.78
2011-11-11,,,,,,,98.99
2011-11-14,0.01,0.09,0.91,2.04,3.89,5.17,98.14
2011-11-15,0.01,0.11,0.93,2.06,3.93,5.2,99.37
2011-11-16,0.01,0.11,0.9,2.01,3.91,5.18,102.59
2011-11-17,0.02,0.1,0.88,1.96,3.83,5.12,98.82
2011-11-18,0.01,0.12,0.94,2.01,3.9,5.15,97.67
2011-11-21,0.02,0.11,0.92,1.97,3.84,5.12,96.73
2011-11-22,0.02,0.11,0.91,1.94,3.81,5.11,97.76
2011-11-23,0.02,0.12,0.88,1.89,3.72,5.04,96.16
2011-11-24,,,,,,,
2011-11-25,0.02,0.13,0.93,1.97,3.85,5.15,96.91
2011-11-28,0.03,0.13,0.91,1.97,3.89,5.16,98.21
2011-11-29,0.02,0.14,0.93,2.0,3.96,5.22,99.79
2011-11-30,0.01,0.12,0.96,2.08,4.07,5.32,100.36
2011-12-01,0.01,0.12,0.97,2.11,4.1,5.41,100.2
2011-12-02,0.02,0.12,0.92,2.05,3.98,5.29,100.97
2011-12-05,0.01,0.11,0.93,2.04,4.03,5.29,100.94
2011-12-06,0.01,0.11,0.94,2.08,4.07,5.34,101.25
2011-12-07,0.02,0.11,0.89,2.02,4.0,5.28,100.45
2011-12-08,0.01,0.1,0.86,1.99,3.95,5.25,98.35
2011-12-09,0.01,0.11,0.89,2.07,4.05,5.35,99.4
2011-12-12,0.01,0.1,0.87,2.03,4.02,5.3,97.77
2011-12-13,0.01,0.11,0.85,1.96,3.98,5.25,100.24
2011-12-14,0.01,0.12,0.86,1.92,3.88,5.16,94.92
2011-12-15,0.0,0.12,0.86,1.92,3.9,5.19,93.84
2011-12-16,0.0,0.11,0.81,1.86,3.82,5.12,93.55
2011-12-19,0.01,0.11,0.82,1.82,3.76,5.08,93.86
2011-12-20,0.01,0.12,0.88,1.94,3.87,5.21,97.16
2011-12-21,0.01,0.13,0.91,1.98,3.9,5.28,98.54
2011-12-22,0.01,0.12,0.91,1.97,3.88,5.26,99.42
2011-12-23,0.01,0.12,0.97,2.03,3.98,5.35,99.72
2011-12-26,,,,,,,
2011-12-27,0.02,0.12,0.96,2.02,3.94,5.32,101.29
2011-12-28,0.01,0.12,0.91,1.93,3.79,5.18,99.44
2011-12-29,0.02,0.12,0.88,1.91,3.8,5.19,99.68
2011-12-30,0.02,0.12,0.83,1.89,3.77,5.16,98.83
2012-01-02,,,,,,,
2012-01-03,0.02,0.12,0.89,1.97,3.84,5.26,102.96
2012-01-04,0.02,0.12,0.89,2.0,3.89,5.3,103.22
2012-01-05,0.02,0.11,0.88,2.02,3.91,5.29,101.81
2012-01-06,0.02,0.12,0.86,1.98,3.85,5.25,101.56
2012-01-09,0.01,0.11,0.85,1.98,3.86,5.26,101.31
2012-01-10,0.02,0.11,0.86,2.0,3.86,5.25,102.24
2012-01-11,0.02,0.11,0.82,1.93,3.8,5.2,100.89
2012-01-12,0.03,0.11,0.84,1.94,3.9,5.21,99.03
2012-01-13,0.03,0.1,0.8,1.89,3.81,5.13,98.69
2012-01-16,,,,,,,
2012-01-17,0.03,0.11,0.79,1.87,3.79,5.11,100.7
2012-01-18,0.03,0.11,0.82,1.92,3.78,5.17,100.61
2012-01-19,0.05,0.11,0.87,2.01,3.87,5.23,100.32
2012-01-20,0.05,0.11,0.91,2.05,3.86,5.29,98.15
2012-01-23,0.04,0.12,0.93,2.09,3.91,5.33,99.47
2012-01-24,0.04,0.12,0.92,2.08,3.92,5.33,98.84
2012-01-25,0.04,0.12,0.81,2.01,3.93,5.32,99.23
2012-01-26,0.05,0.12,0.77,1.96,3.88,5.24,99.76
2012-01-27,0.06,0.12,0.75,1.93,3.85,5.21,99.47
2012-01-30,0.05,0.12,0.73,1.87,3.77,5.12,98.75
2012-01-31,0.06,0.13,0.71,1.83,3.72,5.07,98.46
2012-02-01,0.06,0.13,0.72,1.87,3.8,5.12,97.63
2012-02-02,0.08,0.14,0.71,1.86,3.79,5.11,96.36
2012-02-03,0.08,0.14,0.78,1.97,3.93,5.23,97.8
2012-02-06,0.08,0.14,0.76,1.93,3.87,5.15,96.89
2012-02-07,0.08,0.14,0.82,2.0,3.92,5.19,98.55
2012-02-08,0.09,0.15,0.82,2.01,3.91,5.18,98.8
2012-02-09,0.09,0.15,0.86,2.04,3.91,5.22,99.88
2012-02-10,0.09,0.15,0.81,1.96,3.82,5.13,98.68
2012-02-13,0.11,0.15,0.85,1.99,3.86,5.18,100.39
2012-02-14,0.12,0.18,0.81,1.92,3.78,5.1,100.82
2012-02-15,0.11,0.18,0.81,1.93,3.81,5.12,101.82
2012-02-16,0.1,0.17,0.87,1.99,3.87,5.16,102.33
2012-02-17,0.09,0.18,0.88,2.01,3.87,5.18,103.27
2012-02-20,,,,,,,
2012-02-21,0.08,0.17,0.92,2.05,3.9,5.2,105.88
2012-02-22,0.09,0.17,0.88,2.01,3.86,5.16,105.99
2012-02-23,0.09,0.17,0.88,1.99,3.84,5.13,107.44
2012-02-24,0.1,0.18,0.89,1.98,3.81,5.1,109.39
2012-02-27,0.12,0.17,0.84,1.92,3.78,5.04,108.49
2012-02-28,0.1,0.18,0.84,1.94,3.8,5.06,106.59
2012-02-29,0.08,0.18,0.87,1.98,3.8,5.08,107.08
2012-03-01,0.08,0.18,0.89,2.03,3.87,5.13,108.76
2012-03-02,0.07,0.17,0.84,1.99,3.83,5.08,106.68
2012-03-05,0.08,0.17,0.87,2.0,3.86,5.11,106.7
2012-03-06,0.08,0.17,0.83,1.96,3.82,5.06,104.71
2012-03-07,0.08,0.18,0.85,1.98,3.86,5.09,106.16
2012-03-08,0.08,0.18,0.89,2.03,3.91,5.14,106.65
2012-03-09,0.09,0.18,0.9,2.04,3.93,5.15,107.4
2012-03-12,0.09,0.18,0.92,2.04,3.9,5.13,106.34
2012-03-13,0.08,0.2,0.99,2.14,3.97,5.22,106.7
2012-03-14,0.09,0.21,1.13,2.29,4.14,5.36,105.49
2012-03-15,0.08,0.21,1.11,2.29,4.11,5.36,105.19
2012-03-16,0.09,0.21,1.13,2.31,4.11,5.35,107.03
2012-03-19,0.1,0.21,1.2,2.39,4.18,5.42,108.09
2012-03-20,0.1,0.22,1.22,2.38,4.16,5.4,105.68
2012-03-21,0.09,0.21,1.15,2.31,4.06,5.31,106.87
2012-03-22,0.08,0.19,1.13,2.29,4.04,5.3,104.98
2012-03-23,0.08,0.19,1.1,2.25,3.99,5.26,106.43
2012-03-26,0.09,0.19,1.09,2.26,4.01,5.27,107.07
2012-03-27,0.09,0.18,1.04,2.2,3.98,5.24,107.32
2012-03-28,0.09,0.18,1.05,2.21,3.99,5.24,105.4
2012-03-29,0.07,0.18,1.01,2.18,3.96,5.21,102.79
2012-03-30,0.07,0.19,1.04,2.23,4.04,5.3,103.03
2012-04-02,0.08,0.18,1.03,2.22,4.03,5.3,105.25
2012-04-03,0.08,0.2,1.1,2.3,4.1,5.36,104.02
2012-04-04,0.08,0.19,1.05,2.25,4.07,5.33,101.53
2012-04-05,0.08,0.19,1.01,2.19,4.02,5.28,103.29
2012-04-06,0.07,0.19,0.89,2.07,3.94,5.2,
2012-04-09,0.09,0.19,0.9,2.06,3.91,5.17,102.45
2012-04-10,0.09,0.19,0.85,2.01,3.87,5.15,101.12
2012-04-11,0.09,0.18,0.89,2.05,3.98,5.21,102.66
2012-04-12,0.09,0.18,0.9,2.08,3.99,5.23,103.69
2012-04-13,0.09,0.17,0.86,2.02,3.93,5.17,102.84
2012-04-16,0.08,0.18,0.85,2.0,3.9,5.14,102.92
2012-04-17,0.08,0.18,0.88,2.03,3.94,5.17,104.23
2012-04-18,0.07,0.18,0.86,2.0,3.91,5.15,102.65
2012-04-19,0.07,0.17,0.84,1.98,3.93,5.13,102.38
2012-04-20,0.08,0.18,0.86,1.99,3.95,5.16,103.58
2012-04-23,0.08,0.17,0.83,1.96,3.92,5.12,102.68
2012-04-24,0.09,0.18,0.86,2.0,3.95,5.15,103.1
2012-04-25,0.09,0.18,0.86,2.01,3.98,5.18,103.72
2012-04-26,0.09,0.18,0.83,1.98,3.97,5.17,104.56
2012-04-27,0.09,0.19,0.82,1.96,3.95,5.15,104.86
2012-04-30,0.1,0.2,0.82,1.95,3.95,5.15,104.89
2012-05-01,0.09,0.19,0.84,1.98,4.0,5.2,106.17
2012-05-02,0.08,0.18,0.82,1.96,3.95,5.15,105.25
2012-05-03,0.09,0.19,0.82,1.96,3.95,5.14,102.56
2012-05-04,0.07,0.18,0.78,1.91,3.91,5.1,98.49
2012-05-07,0.1,0.18,0.79,1.92,3.9,5.1,97.86
2012-05-08,0.09,0.18,0.77,1.88,3.86,5.07,97.13
2012-05-09,0.09,0.18,0.77,1.87,3.87,5.09,96.8
2012-05-10,0.1,0.18,0.79,1.89,3.89,5.1,97.1
2012-05-11,0.1,0.18,0.75,1.84,3.84,5.06,96.03
2012-05-14,0.1,0.19,0.73,1.78,3.78,5.0,94.75
2012-05-15,0.09,0.19,0.74,1.76,3.76,5.0,93.97
2012-05-16,0.1,0.2,0.75,1.76,3.73,5.01,92.78
2012-05-17,0.1,0.2,0.74,1.7,3.63,4.93,92.53
2012-05-18,0.08,0.2,0.75,1.71,3.72,4.98,91.51
2012-05-21,0.09,0.21,0.75,1.75,3.73,5.0,92.57
2012-05-22,0.09,0.21,0.78,1.79,3.82,5.13,91.44
2012-05-23,0.09,0.2,0.74,1.73,3.71,5.06,89.4
2012-05-24,0.1,0.21,0.77,1.77,3.76,5.13,90.36
2012-05-25,0.09,0.2,0.76,1.75,3.76,5.12,90.64
2012-05-28,,,,,,,
2012-05-29,0.09,0.2,0.76,1.74,3.75,5.12,90.75
2012-05-30,0.07,0.19,0.69,1.63,3.68,5.03,87.79
2012-05-31,0.07,0.18,0.67,1.59,3.63,4.99,86.52
2012-06-01,0.07,0.17,0.62,1.47,3.54,4.88,83.17
2012-06-04,0.08,0.18,0.68,1.53,3.58,4.93,83.95
2012-06-05,0.08,0.18,0.68,1.57,3.62,4.97,84.31
2012-06-06,0.09,0.18,0.73,1.66,3.71,5.07,85.05
2012-06-07,0.09,0.18,0.72,1.66,3.71,5.09,84.78
2012-06-08,0.09,0.19,0.71,1.65,3.71,5.09,84.08
2012-06-11,0.09,0.18,0.69,1.6,3.67,5.06,82.58
2012-06-12,0.1,0.19,0.75,1.67,3.72,5.1,83.35
2012-06-13,0.1,0.18,0.71,1.61,3.66,5.04,82.56
